Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Barbara Wright,Admin,X,X,111 010,111 100,X,011 010,010 010,100 100,101 100,011 001,100 100,X,X,100 100
Patricia Hill,Doctor,X,111 100,001 001,011 001,100 100,100 100,X,010 010,011 001,111 100,111 001,111 001,101 100,110 100
Joseph Young,Doctor,111 100,110 100,010 010,111 001,011 010,111 001,100 100,101 001,X,X,100 100,X,101 001,X
Henry Thomas,Nurse,111 001,111 001,011 010,101 001,011 010,010 010,X,100 100,X,111 010,X,001 001,100 100,111 010
James Williams,Nurse,111 001,111 100,001 001,X,X,010 010,011 010,110 100,110 100,101 001,111 001,X,111 010,110 100
Lisa White,Doctor,111 010,X,101 100,001 001,110 100,111 010,111 001,011 001,010 010,111 010,011 010,110 100,001 001,011 001
Henry Allen,Admin,111 010,111 100,001 001,001 001,X,111 001,101 100,001 001,X,X,100 100,111 100,101 001,010 010
Liam Sanchez,Nurse,111 010,X,011 010,111 001,111 010,X,100 100,001 001,111 001,111 010,111 001,010 010,001 001,110 100
James Wilson,Admin,X,X,010 010,110 100,110 100,001 001,111 100,111 010,001 001,X,X,X,X,X
Lisa Clark,Nurse,X,X,111 010,111 001,111 001,X,110 100,110 100,001 001,001 001,010 010,010 010,010 010,111 001
Barbara Robinson,Doctor,001 001,X,010 010,011 001,100 100,011 001,X,X,010 010,001 001,111 010,101 100,010 010,110 100
Michael Taylor,Doctor,111 100,111 100,100 100,111 100,011 010,X,X,X,X,111 001,100 100,111 001,111 010,X
Patricia Rodriguez,Admin,X,111 001,X,X,110 010,010 010,101 001,011 010,111 100,111 100,110 100,101 100,111 010,100 100
James Lopez,Admin,010 010,010 010,111 001,111 100,110 010,X,101 001,X,110 010,010 010,111 001,110 010,110 100,100 100
Mary Walker,Nurse,100 100,110 100,101 001,111 100,011 010,111 010,110 010,100 100,101 001,111 010,110 010,100 100,111 100,111 001
Thomas Taylor,Nurse,X,X,010 010,110 100,100 100,101 001,100 100,111 010,101 001,111 001,010 010,111 010,011 001,011 010
Mary Williams,Nurse,011 010,X,010 010,111 001,011 010,100 100,X,101 001,111 100,110 100,X,X,011 001,X
Evelyn Flores,Nurse,X,001 001,X,X,X,011 010,010 010,X,X,001 001,X,X,001 001,010 010
Michael Martin,Doctor,011 001,010 010,110 100,111 010,101 001,001 001,111 001,001 001,110 010,001 001,111 100,111 100,X,111 001
Benjamin Rodriguez,Nurse,001 001,X,X,001 001,111 100,100 100,011 001,111 100,110 010,X,010 010,011 001,101 100,X
William Gonzalez,Doctor,100 100,X,011 001,010 010,001 001,111 001,011 001,111 100,101 100,101 100,001 001,100 100,110 010,010 010
Henry Harris,Admin,X,X,110 010,111 100,X,011 010,X,100 100,X,010 010,X,X,100 100,101 001
Amelia Harris,Admin,011 001,010 010,101 001,111 100,111 001,X,111 001,X,111 001,111 001,010 010,X,010 010,X
James Smith,Doctor,011 001,110 010,111 001,110 010,010 010,X,111 010,111 001,111 001,111 001,111 100,X,101 100,001 001
Richard King,Nurse,010 010,111 010,110 010,001 001,X,110 100,011 001,X,010 010,111 001,X,X,X,X
Joseph Harris,Admin,100 100,111 010,010 010,111 100,010 010,001 001,011 010,010 010,101 100,111 100,110 100,001 001,001 001,X
Sophia Garcia,Nurse,X,111 010,100 100,X,111 010,111 010,X,X,001 001,011 001,X,101 001,111 100,X
Jennifer Jones,Nurse,X,X,110 100,001 001,101 100,X,111 010,101 001,111 100,111 010,111 010,101 001,011 001,X
Amelia Perez,Doctor,X,111 010,101 001,100 100,011 001,100 100,101 100,X,X,111 001,X,100 100,100 100,010 010
Harper Jones,Doctor,110 100,X,111 100,101 100,111 100,110 100,111 010,111 001,X,X,110 010,011 010,100 100,111 010
Ava Martin,Doctor,110 100,110 010,010 010,001 001,110 100,X,011 001,111 001,111 100,111 100,X,111 100,011 010,011 001
Richard Young,Admin,010 010,X,110 100,110 010,010 010,110 010,110 100,100 100,X,001 001,011 010,110 100,111 100,111 100
