Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Henry Gonzalez,Nurse,101 001,101 001,X,X,011 010,X,X,111 001,101 001,010 010,X,X,111 001,101 100
Alexander King,Admin,010 010,100 100,111 001,110 010,001 001,X,110 010,010 010,100 100,111 001,X,X,011 001,111 010
Margaret Miller,Admin,111 010,011 010,X,111 001,101 100,111 010,X,011 010,100 100,011 010,101 001,X,111 100,101 001
Dorothy Anderson,Doctor,X,111 001,101 001,101 100,001 001,100 100,011 010,X,110 100,111 001,110 100,010 010,111 001,X
Mary Taylor,Doctor,111 100,111 010,110 100,111 001,101 001,X,111 001,001 001,010 010,111 100,001 001,100 100,010 010,001 001
Joseph Brown,Nurse,111 001,X,010 010,101 001,111 001,010 010,111 010,X,111 010,X,110 010,101 100,001 001,111 010
Dorothy Perez,Doctor,X,X,001 001,X,110 010,X,101 100,101 100,101 001,101 100,111 100,100 100,111 001,111 001
Michael Wilson,Admin,111 010,X,101 001,110 010,111 100,110 010,111 010,100 100,010 010,111 010,101 001,111 010,X,100 100
Linda King,Nurse,101 100,X,X,100 100,X,110 100,X,X,110 100,101 001,X,010 010,X,111 010
Dorothy Martinez,Nurse,X,X,111 010,101 001,010 010,X,X,111 001,111 001,111 001,010 010,111 100,001 001,100 100
Patricia King,Doctor,111 010,X,111 010,X,100 100,X,X,X,011 001,010 010,X,100 100,100 100,101 001
Barbara King,Admin,X,X,110 100,001 001,010 010,101 100,X,001 001,111 010,100 100,101 100,101 001,111 100,111 001
Mia Ramirez,Admin,101 100,111 001,110 010,100 100,111 010,X,100 100,111 100,001 001,100 100,111 001,001 001,X,010 010
Evelyn Thompson,Admin,010 010,010 010,101 001,010 010,001 001,X,X,X,010 010,001 001,X,100 100,X,101 001
Joseph Scott,Admin,001 001,110 100,110 010,X,111 100,011 010,X,010 010,X,X,111 100,001 001,001 001,010 010
Richard Wilson,Doctor,010 010,011 010,X,111 010,100 100,100 100,110 010,110 100,111 001,X,X,X,X,010 010
Elizabeth Nguyen,Nurse,111 010,111 010,010 010,X,X,111 100,X,111 010,111 010,111 010,111 010,X,110 100,111 010
Harper Perez,Doctor,100 100,111 010,011 010,100 100,X,110 010,111 100,010 010,010 010,111 100,100 100,111 100,111 001,X
Sophia Scott,Doctor,X,X,111 001,010 010,111 010,011 001,010 010,011 010,111 100,111 010,111 100,111 100,110 010,100 100
Susan Harris,Doctor,X,X,101 100,010 010,X,111 010,111 010,X,110 010,100 100,100 100,010 010,011 010,001 001
