Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Isabella Lopez,Doctor,110 010,X,011 001,011 001,001 001,101 001,110 100,X,111 100,011 001,101 100,111 001,101 100,111 010
Michael Scott,Doctor,111 010,110 100,111 010,010 010,101 100,X,X,111 010,111 100,001 001,111 010,110 010,111 001,010 010
Olivia Lopez,Doctor,010 010,111 001,111 010,X,001 001,101 100,011 010,101 001,010 010,011 001,111 001,101 001,111 001,110 010
Amelia King,Doctor,111 100,111 010,111 001,100 100,X,111 100,X,111 010,111 100,111 100,110 010,X,110 010,X
Thomas Taylor,Nurse,111 001,010 010,101 001,100 100,010 010,010 010,001 001,X,111 010,011 001,001 001,X,011 001,X
Harper Allen,Doctor,111 010,111 010,X,010 010,110 100,111 100,111 100,001 001,001 001,X,010 010,011 001,101 001,X
Ava Moore,Doctor,111 100,X,100 100,110 010,011 010,100 100,001 001,100 100,111 001,110 100,010 010,X,X,X
Margaret Young,Admin,X,111 100,011 010,X,001 001,X,011 010,101 100,X,110 010,X,X,111 001,100 100
William Brown,Admin,001 001,111 100,X,110 100,010 010,111 100,001 001,X,111 100,X,011 010,110 100,100 100,010 010
Mia Davis,Nurse,X,100 100,X,011 010,010 010,001 001,100 100,111 001,X,X,001 001,001 001,101 001,X
Charles Garcia,Admin,101 001,010 010,X,X,011 010,011 010,X,110 100,010 010,X,011 001,X,X,101 001
Margaret Wright,Admin,010 010,110 100,X,111 010,010 010,110 100,101 001,110 010,011 001,011 001,001 001,X,101 001,111 010
Oliver Young,Admin,101 100,001 001,111 100,111 001,110 100,001 001,111 010,X,X,111 100,010 010,111 001,111 010,110 100
Harper Lee,Doctor,100 100,100 100,X,X,X,001 001,111 100,111 001,001 001,100 100,111 100,001 001,101 001,011 001
Mary Johnson,Admin,111 001,X,X,110 100,101 100,X,X,101 100,110 100,111 001,101 001,111 100,011 001,001 001
Noah Smith,Doctor,110 100,X,011 010,X,X,X,110 100,X,001 001,X,010 010,111 100,111 010,100 100
Noah Young,Nurse,110 010,011 001,X,001 001,001 001,100 100,011 001,X,011 001,011 001,001 001,111 100,111 010,001 001
Noah Lopez,Doctor,X,111 001,011 010,001 001,111 001,110 010,001 001,100 100,101 100,100 100,001 001,X,011 001,111 010
Mary Rodriguez,Admin,001 001,101 100,010 010,111 010,011 010,X,111 001,010 010,101 001,100 100,111 100,011 001,X,110 010
Isabella Anderson,Nurse,101 001,101 100,X,111 001,110 010,111 100,111 001,111 100,X,001 001,001 001,001 001,X,001 001
Olivia Davis,Nurse,001 001,X,001 001,100 100,X,111 010,111 001,111 001,111 100,111 010,101 001,X,X,011 010
Benjamin Sanchez,Admin,X,X,101 100,X,011 010,100 100,111 100,111 100,010 010,111 001,111 010,X,111 100,X
David Martin,Admin,111 010,101 001,011 010,111 001,010 010,010 010,110 100,111 010,X,X,001 001,X,010 010,010 010
Evelyn Martinez,Doctor,100 100,011 010,111 100,X,011 001,111 100,010 010,111 001,111 001,X,111 001,X,X,011 010
Barbara Flores,Nurse,111 001,111 100,X,111 010,010 010,X,X,X,110 100,101 100,111 100,X,111 100,X
James Martinez,Admin,X,010 010,X,010 010,X,111 100,111 010,111 001,X,110 100,100 100,X,111 001,011 001
James Davis,Doctor,X,110 100,X,110 100,001 001,001 001,100 100,101 100,110 010,100 100,010 010,111 100,111 100,001 001
Susan Garcia,Doctor,001 001,X,X,X,011 001,100 100,111 100,001 001,111 010,X,010 010,010 010,111 100,X
Linda Wilson,Doctor,111 100,111 010,011 010,100 100,111 100,100 100,001 001,100 100,011 001,111 001,100 100,011 001,010 010,001 001
Dorothy Miller,Doctor,110 100,X,111 100,X,001 001,111 010,111 100,111 001,X,010 010,110 100,011 001,111 001,111 010
Alexander Garcia,Doctor,X,101 100,010 010,111 010,111 100,110 100,100 100,X,111 010,011 001,101 100,101 001,110 010,010 010
James Thompson,Doctor,X,011 010,011 001,011 010,111 001,010 010,001 001,111 010,X,100 100,101 100,X,X,X
Ava Perez,Nurse,111 100,010 010,010 010,X,101 001,111 001,X,X,011 010,111 001,101 100,110 010,111 100,X
John Miller,Doctor,110 010,111 001,110 010,101 100,X,X,110 010,X,111 100,111 010,101 100,X,111 100,101 100
Evelyn Anderson,Doctor,101 001,X,110 100,001 001,110 010,011 010,X,X,110 100,111 100,111 001,111 100,101 100,X
Robert Robinson,Admin,X,011 001,X,011 001,X,010 010,011 001,011 001,111 100,111 010,111 001,011 001,010 010,X
James Lopez,Nurse,011 001,110 100,X,011 001,X,X,X,X,011 010,101 100,X,111 100,010 010,X
Elizabeth White,Nurse,X,101 100,111 100,X,001 001,100 100,101 001,110 010,X,X,X,110 010,111 100,X
Mary Ramirez,Doctor,010 010,111 001,111 001,001 001,011 001,111 001,111 001,X,001 001,111 001,010 010,111 100,001 001,X
Susan Jones,Admin,101 100,010 010,111 010,X,111 100,100 100,100 100,010 010,111 001,100 100,111 100,011 010,111 100,101 100
David Brown,Nurse,111 100,110 100,X,011 001,011 010,111 001,111 001,111 100,X,011 010,101 001,001 001,X,011 001
Robert Johnson,Doctor,X,010 010,011 010,101 001,X,X,111 001,111 100,X,111 001,100 100,X,111 001,111 010
Emma Clark,Doctor,100 100,111 100,010 010,X,011 001,X,111 001,X,100 100,X,111 010,X,100 100,X
Thomas Allen,Admin,X,100 100,010 010,011 010,010 010,001 001,011 001,X,100 100,101 100,010 010,100 100,101 001,011 001
Oliver Perez,Doctor,100 100,100 100,001 001,110 100,111 100,111 100,110 010,100 100,X,011 001,111 100,100 100,111 010,011 010
William Wright,Doctor,111 001,110 010,X,011 010,X,111 100,111 100,100 100,011 010,111 100,111 001,111 100,101 100,010 010
Barbara Wilson,Nurse,111 010,010 010,X,101 100,101 100,010 010,X,X,001 001,010 010,010 010,100 100,111 100,011 001
Alexander Young,Doctor,X,111 010,X,111 100,001 001,X,101 100,110 100,110 100,101 100,010 010,001 001,101 100,111 010
Noah Rodriguez,Admin,001 001,001 001,111 010,X,001 001,110 010,111 100,X,111 001,111 100,X,010 010,X,X
Thomas Perez,Nurse,010 010,110 010,111 001,X,100 100,111 010,001 001,110 100,111 001,010 010,110 010,100 100,011 010,111 100
William Jones,Admin,111 010,X,010 010,101 001,X,111 001,X,110 100,010 010,X,100 100,110 100,110 010,010 010
William Scott,Admin,111 100,100 100,111 100,111 100,011 010,110 010,100 100,X,101 001,111 010,101 100,X,X,011 010
Elizabeth Wright,Doctor,111 010,001 001,101 100,101 001,X,111 001,010 010,X,100 100,111 010,X,X,101 100,001 001
Harper Martin,Nurse,111 010,100 100,111 010,X,010 010,X,110 010,111 100,X,100 100,001 001,X,110 100,001 001
Richard Johnson,Doctor,010 010,X,011 001,X,111 001,111 100,010 010,111 100,110 100,011 010,X,111 001,011 001,111 010
Linda King,Doctor,011 010,111 001,X,111 001,111 001,100 100,101 001,111 100,001 001,110 100,101 001,010 010,X,111 100
Michael Brown,Nurse,101 100,X,100 100,010 010,010 010,X,110 010,111 001,X,111 010,010 010,111 001,011 010,100 100
Lisa White,Nurse,001 001,100 100,101 100,011 010,100 100,101 100,101 001,111 001,X,X,111 001,001 001,110 010,101 001
Robert Flores,Nurse,111 001,X,111 010,111 001,X,111 001,011 001,111 010,111 010,111 100,100 100,X,X,011 010
