Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
David Davis,Doctor,7 Evening False,2 Morning False,6 Morning False,7 Morning True,6 Morning True,3 Evening False,1 Evening False,7 Night False,2 Morning True,4 Night False,7 Night False,7 Night True,7 Night True,2 Morning False
Noah Williams,Nurse,7 Morning False,5 Night False,2 Morning False,2 Morning True,7 Morning False,4 Night False,7 Morning False,5 Night False,7 Evening False,7 Night False,7 Night False,7 Evening False,1 Evening False,7 Morning False
Emma Rodriguez,Nurse,4 Night True,7 Evening False,7 Morning False,5 Night False,7 Evening False,6 Night False,2 Morning False,1 Evening False,4 Night False,3 Evening False,3 Evening True,4 Night True,7 Morning False,2 Morning False
Linda Wilson,Admin,7 Evening False,7 Night False,1 Evening False,5 Evening True,3 Evening False,7 Evening False,1 Evening False,7 Night False,6 Night False,1 Evening False,7 Evening False,2 Morning False,6 Night False,5 Evening False
Michael King,Admin,7 Morning False,7 Morning False,1 Evening False,7 Evening False,6 Morning True,2 Morning True,1 Evening False,3 Evening False,7 Morning False,7 Night False,4 Night True,3 Evening True,5 Evening False,7 Night False
Joseph Moore,Doctor,7 Evening False,3 Evening True,2 Morning False,7 Night True,6 Night False,4 Night False,2 Morning False,1 Evening False,7 Evening False,6 Morning False,5 Night False,4 Night False,7 Morning False,1 Evening False
Oliver Allen,Doctor,7 Evening False,7 Evening False,7 Night False,1 Evening False,3 Evening True,6 Morning True,7 Night False,4 Night False,3 Morning False,6 Night False,5 Night True,2 Morning False,4 Night False,3 Evening False
Susan King,Doctor,4 Night False,6 Morning False,7 Night True,2 Morning True,7 Morning False,1 Evening False,4 Night True,1 Evening True,4 Night False,3 Morning False,7 Evening False,2 Morning False,7 Night True,4 Night True
Mia Jackson,Doctor,1 Evening False,6 Morning True,3 Morning False,4 Night False,3 Evening True,4 Night False,7 Evening False,1 Evening False,2 Morning False,7 Night False,5 Night False,6 Night False,7 Night False,4 Night False
Benjamin Brown,Doctor,2 Morning False,4 Night True,2 Morning False,6 Morning True,1 Evening False,5 Night False,7 Morning True,3 Evening False,2 Morning False,6 Night True,7 Morning False,2 Morning True,7 Night True,7 Night False
Charles Martinez,Admin,2 Morning False,4 Night False,2 Morning True,3 Morning False,2 Morning False,4 Night False,7 Evening False,4 Night False,6 Morning False,4 Night False,3 Morning False,7 Evening False,4 Night True,1 Evening False
James Jackson,Doctor,5 Evening False,7 Morning False,4 Night False,7 Night False,6 Night True,6 Morning False,6 Night False,2 Morning False,4 Night False,6 Morning False,2 Morning True,7 Evening False,7 Evening False,6 Morning False
Emma Davis,Nurse,1 Evening False,7 Morning True,7 Evening True,1 Evening False,7 Morning True,4 Night False,3 Evening False,1 Evening False,4 Night False,7 Night False,3 Evening True,7 Morning True,6 Night False,1 Evening True
Jennifer White,Nurse,5 Night False,7 Evening False,3 Morning True,7 Evening True,7 Evening False,4 Night True,7 Morning False,7 Night False,2 Morning False,7 Morning True,7 Morning False,1 Evening False,6 Morning True,5 Night True
Emma Johnson,Admin,2 Morning False,5 Evening True,7 Night True,5 Night False,2 Morning False,7 Night False,3 Evening False,7 Evening True,7 Morning False,6 Night False,4 Night False,7 Night True,7 Evening False,7 Night False
Isabella Flores,Doctor,2 Morning False,3 Morning False,5 Evening False,1 Evening False,1 Evening False,6 Morning False,1 Evening False,4 Night False,7 Evening True,4 Night False,7 Morning False,7 Night False,1 Evening False,1 Evening False
Richard Hernandez,Admin,7 Night False,6 Morning False,7 Morning False,7 Morning True,7 Morning False,2 Morning False,5 Evening True,4 Night True,4 Night False,7 Morning True,7 Evening False,1 Evening False,1 Evening False,2 Morning False
James Davis,Doctor,7 Evening True,2 Morning False,6 Night False,3 Morning False,7 Evening False,1 Evening False,5 Evening False,5 Night True,2 Morning False,4 Night False,3 Evening True,7 Morning False,4 Night False,2 Morning True
Elijah Flores,Doctor,6 Night False,4 Night False,5 Evening False,4 Night False,7 Evening False,4 Night False,2 Morning True,7 Morning False,7 Morning False,7 Night False,7 Morning False,7 Morning False,7 Morning False,3 Morning False
Linda Perez,Admin,7 Night True,7 Evening False,3 Evening False,1 Evening False,7 Night True,6 Morning False,7 Evening False,7 Morning False,3 Evening False,2 Morning False,2 Morning True,7 Night True,7 Night True,1 Evening False
James Rodriguez,Nurse,7 Evening True,7 Morning False,2 Morning True,7 Morning False,2 Morning False,2 Morning False,5 Night True,2 Morning True,1 Evening True,4 Night False,7 Morning False,7 Evening False,1 Evening False,7 Morning False
Elijah Jones,Nurse,7 Morning False,7 Morning False,1 Evening False,7 Morning False,4 Night False,5 Night True,7 Evening False,5 Evening True,7 Evening False,5 Evening False,3 Evening False,7 Night True,2 Morning False,7 Night False
Lisa Lee,Admin,3 Evening False,7 Morning False,3 Evening True,3 Morning True,7 Evening False,3 Morning True,5 Night False,2 Morning False,1 Evening False,5 Night False,5 Evening True,1 Evening False,7 Night True,6 Morning False
Richard Miller,Nurse,7 Evening False,4 Night False,1 Evening False,7 Night True,7 Evening False,7 Evening False,5 Night False,7 Morning True,1 Evening False,7 Night False,3 Evening False,6 Night False,2 Morning False,7 Night False
Charles Jones,Nurse,6 Night True,2 Morning False,7 Night False,4 Night False,3 Morning False,3 Morning False,2 Morning False,5 Night False,7 Morning False,7 Night False,2 Morning False,4 Night True,6 Morning False,6 Morning True
Margaret Jackson,Doctor,3 Morning True,4 Night True,5 Night False,4 Night True,2 Morning False,6 Morning False,7 Morning True,3 Morning False,7 Morning False,2 Morning False,7 Night False,3 Morning True,2 Morning False,7 Morning False
Harper Moore,Doctor,4 Night False,1 Evening False,7 Night False,7 Evening False,7 Evening False,7 Morning False,4 Night True,5 Night True,6 Morning False,5 Night False,2 Morning True,7 Morning False,2 Morning False,5 Night True
Harper Miller,Admin,5 Night True,5 Evening False,4 Night False,7 Morning False,7 Evening False,7 Evening False,6 Morning False,6 Morning False,1 Evening False,7 Night False,4 Night False,1 Evening True,6 Night False,7 Evening False
James Allen,Admin,5 Night True,3 Evening False,2 Morning False,6 Night False,6 Night False,7 Evening False,3 Morning False,2 Morning False,7 Night False,4 Night False,7 Evening True,6 Night False,2 Morning True,7 Evening False
Emma Sanchez,Admin,7 Morning True,5 Evening False,7 Evening False,4 Night False,5 Night False,7 Evening False,5 Night True,2 Morning False,4 Night False,7 Evening False,2 Morning False,7 Night False,5 Night False,4 Night False
William Clark,Admin,6 Night False,4 Night False,7 Morning False,4 Night False,2 Morning False,7 Evening False,7 Morning False,5 Night False,7 Morning False,7 Morning False,3 Evening True,4 Night False,7 Night False,2 Morning False
Lucas Sanchez,Admin,6 Night True,3 Morning False,3 Evening False,6 Night False,5 Night False,6 Morning False,7 Night True,3 Morning False,2 Morning True,7 Morning False,7 Night False,5 Night False,4 Night False,2 Morning True
Noah Davis,Doctor,5 Night False,7 Evening True,7 Evening False,6 Night False,2 Morning False,7 Night False,1 Evening False,5 Night False,7 Evening True,1 Evening False,7 Night False,7 Night False,3 Evening False,7 Night True
Charles Clark,Nurse,7 Evening False,4 Night True,4 Night False,3 Morning False,1 Evening False,7 Night True,7 Evening True,7 Night True,6 Morning False,6 Night False,4 Night False,1 Evening True,1 Evening False,1 Evening False
Evelyn Moore,Admin,5 Evening False,5 Night True,7 Night False,5 Evening False,7 Evening True,6 Night False,7 Morning False,7 Night False,7 Morning False,7 Evening True,4 Night False,3 Evening False,3 Morning False,6 Night False
Amelia Jones,Nurse,6 Night False,3 Evening False,2 Morning True,6 Morning True,1 Evening False,5 Night False,1 Evening False,7 Night True,6 Morning False,1 Evening False,7 Evening False,2 Morning False,1 Evening True,1 Evening False
Joseph Taylor,Nurse,1 Evening False,7 Morning False,7 Night True,1 Evening False,7 Evening True,3 Evening False,7 Night False,5 Evening False,4 Night False,4 Night False,7 Night False,4 Night False,6 Morning False,2 Morning True
Susan Jackson,Admin,7 Morning False,1 Evening True,7 Evening False,6 Night True,7 Night True,5 Evening False,3 Morning False,5 Evening False,3 Morning True,7 Evening False,5 Evening False,7 Evening False,5 Evening True,5 Evening False
Lisa Nguyen,Admin,5 Night False,1 Evening False,6 Night False,2 Morning False,1 Evening False,1 Evening False,7 Morning False,7 Morning True,7 Evening False,5 Evening False,4 Night False,7 Night False,5 Night True,5 Night False
Benjamin Thompson,Admin,1 Evening True,4 Night False,1 Evening False,2 Morning True,2 Morning False,4 Night False,7 Morning False,6 Night True,7 Night False,7 Night False,4 Night True,3 Evening False,4 Night True,6 Night False
Lisa King,Nurse,7 Evening False,7 Evening False,1 Evening True,2 Morning False,2 Morning False,1 Evening False,7 Morning False,1 Evening False,7 Night True,7 Morning False,7 Evening False,7 Morning False,3 Evening True,2 Morning False
Susan Miller,Nurse,5 Night False,7 Night False,7 Evening False,5 Evening False,1 Evening False,3 Morning False,2 Morning True,1 Evening False,7 Evening True,7 Morning True,6 Morning False,6 Morning False,6 Night True,1 Evening True
Charles Davis,Admin,1 Evening False,7 Morning True,4 Night True,5 Night False,4 Night True,5 Evening False,1 Evening False,5 Night False,7 Evening False,7 Morning False,7 Night False,2 Morning False,7 Morning True,4 Night False
Olivia Martinez,Admin,4 Night True,3 Morning False,7 Night True,3 Evening False,4 Night False,1 Evening False,5 Night False,4 Night False,2 Morning False,7 Night False,1 Evening False,4 Night True,3 Evening True,1 Evening False
Emma Wright,Nurse,6 Night False,6 Morning False,2 Morning True,3 Evening False,4 Night False,3 Morning False,1 Evening True,6 Night False,6 Morning False,4 Night True,1 Evening False,5 Night False,7 Evening True,4 Night True
Jennifer Flores,Doctor,2 Morning False,1 Evening False,3 Evening False,7 Night False,5 Evening False,6 Night False,2 Morning False,4 Night False,7 Morning True,7 Night False,5 Night False,2 Morning False,7 Morning False,5 Night False
Benjamin Moore,Admin,4 Night False,1 Evening False,7 Evening False,5 Evening False,4 Night False,7 Night True,2 Morning False,3 Morning True,7 Evening False,1 Evening True,7 Morning True,6 Night False,6 Night True,1 Evening False
Thomas Clark,Nurse,7 Night False,3 Evening False,3 Morning False,7 Night False,4 Night False,7 Night False,7 Night False,7 Night False,3 Evening False,6 Night False,7 Evening False,3 Evening False,6 Night False,4 Night False
Elijah Anderson,Admin,2 Morning True,6 Morning False,7 Evening False,5 Night False,5 Night False,7 Night False,2 Morning True,3 Evening True,7 Evening True,1 Evening True,4 Night True,4 Night False,5 Evening False,6 Morning False
James Thompson,Nurse,7 Morning False,7 Night False,4 Night False,7 Evening False,2 Morning True,6 Night False,6 Morning False,6 Morning False,3 Evening False,3 Morning False,1 Evening True,5 Night True,5 Night False,1 Evening False
Barbara Williams,Admin,3 Evening False,1 Evening False,4 Night False,7 Night False,2 Morning False,2 Morning False,3 Morning False,3 Evening False,5 Evening False,7 Night False,3 Evening False,7 Night False,5 Evening False,3 Evening False
Emma Ramirez,Doctor,6 Morning False,1 Evening False,6 Morning False,7 Evening False,7 Morning True,3 Morning False,2 Morning False,1 Evening False,7 Evening False,6 Morning False,4 Night False,2 Morning False,7 Morning True,5 Night False
Margaret Lewis,Nurse,5 Night False,6 Morning False,2 Morning False,7 Morning False,5 Evening False,4 Night False,6 Night False,2 Morning False,2 Morning False,2 Morning False,3 Morning True,3 Evening False,7 Morning False,5 Night True
Michael Jackson,Nurse,6 Morning False,1 Evening False,7 Evening False,7 Evening False,3 Evening False,4 Night False,3 Evening False,7 Morning False,7 Morning True,1 Evening False,7 Evening False,7 Morning False,7 Evening False,5 Evening False
Charles King,Nurse,5 Night True,2 Morning False,5 Evening True,2 Morning True,1 Evening False,7 Evening False,6 Morning False,4 Night False,6 Morning False,1 Evening True,3 Evening False,6 Night True,2 Morning True,7 Morning False
Joseph Scott,Nurse,7 Night True,4 Night False,4 Night False,7 Morning False,4 Night False,5 Evening False,7 Night False,2 Morning True,4 Night False,2 Morning False,3 Morning False,4 Night False,6 Morning True,4 Night False
Henry Garcia,Nurse,7 Morning False,7 Night False,4 Night False,5 Evening False,7 Evening False,3 Morning False,3 Morning True,7 Morning False,3 Evening False,5 Evening True,7 Morning False,4 Night False,2 Morning True,6 Night False
Jennifer Walker,Doctor,5 Evening False,1 Evening False,4 Night True,2 Morning False,5 Night False,1 Evening False,7 Evening False,6 Night True,1 Evening False,7 Evening True,5 Night False,7 Morning False,4 Night True,7 Morning False
Susan Anderson,Doctor,1 Evening True,1 Evening False,3 Evening True,1 Evening False,1 Evening False,7 Evening False,1 Evening True,7 Evening False,6 Morning True,1 Evening False,1 Evening True,6 Night False,2 Morning False,3 Evening True
James Wright,Doctor,3 Morning True,5 Evening True,4 Night False,4 Night False,7 Evening False,7 Night False,6 Night False,3 Evening False,7 Morning False,3 Evening True,7 Evening False,7 Evening False,7 Evening False,6 Night True
Richard Nguyen,Admin,6 Night False,1 Evening False,2 Morning False,3 Evening True,7 Night False,5 Night True,2 Morning False,5 Night False,3 Morning True,6 Morning False,2 Morning False,2 Morning False,7 Evening False,7 Evening False
William Allen,Nurse,6 Morning False,3 Evening False,7 Night False,6 Morning False,4 Night False,4 Night False,6 Morning False,5 Night False,3 Morning False,3 Morning False,4 Night True,1 Evening False,2 Morning False,1 Evening False
Mary Rodriguez,Doctor,7 Morning False,3 Morning False,3 Evening True,5 Evening False,1 Evening False,7 Morning False,2 Morning True,7 Morning False,3 Evening False,6 Morning True,7 Evening False,2 Morning False,7 Morning False,7 Evening True
Barbara Davis,Doctor,2 Morning False,7 Evening False,2 Morning False,7 Evening True,1 Evening False,3 Morning True,1 Evening False,2 Morning True,6 Night False,2 Morning False,7 Morning False,4 Night False,7 Evening False,5 Night False
Susan Thomas,Nurse,4 Night False,2 Morning True,5 Night False,1 Evening True,7 Morning False,7 Evening True,3 Morning False,2 Morning True,1 Evening False,5 Evening False,2 Morning False,2 Morning False,1 Evening False,2 Morning True
Harper Lopez,Nurse,7 Morning False,5 Evening False,4 Night True,2 Morning False,3 Evening False,6 Morning False,5 Night True,7 Evening False,5 Night False,5 Evening True,7 Morning False,1 Evening False,2 Morning True,2 Morning True
