Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Olivia Allen,Admin,X,X,001 001,X,X,010 010,100 100,X,011 001,X,X,011 010,111 100,111 001
Oliver Wilson,Admin,111 100,001 001,011 001,011 010,001 001,011 010,X,111 001,111 100,001 001,111 001,100 100,001 001,X
Alexander Robinson,Doctor,X,101 100,X,010 010,011 001,X,111 010,001 001,111 100,X,010 010,X,110 010,101 001
John Wright,Admin,X,X,001 001,100 100,111 010,101 100,010 010,101 001,101 001,111 001,111 100,111 010,111 001,110 100
Amelia White,Nurse,110 010,X,X,001 001,010 010,100 100,001 001,011 001,X,X,111 010,111 001,111 100,111 010
Richard Johnson,Admin,111 010,100 100,X,010 010,111 100,110 010,X,111 010,111 010,011 001,X,111 010,111 100,110 100
Elijah Wilson,Nurse,X,X,111 100,101 001,101 100,110 010,100 100,101 001,111 100,100 100,110 010,010 010,110 010,010 010
Dorothy Garcia,Nurse,111 100,111 010,X,111 010,011 010,X,011 001,011 001,010 010,X,111 100,101 001,111 010,111 100
John Davis,Admin,100 100,X,X,101 100,101 100,111 001,110 100,110 010,011 010,101 100,X,100 100,101 100,111 001
Oliver Jones,Admin,011 001,001 001,110 100,110 100,111 100,101 100,100 100,X,011 001,101 100,111 100,110 010,110 010,101 100
Mary Miller,Doctor,110 100,111 010,111 001,X,101 100,011 010,011 001,010 010,X,111 100,X,X,X,100 100
Lucas Clark,Doctor,011 001,101 001,X,110 100,X,X,001 001,X,111 001,011 010,100 100,100 100,110 010,011 010
Elijah Robinson,Doctor,100 100,100 100,100 100,101 100,X,X,010 010,X,100 100,010 010,111 010,X,010 010,X
James Clark,Doctor,101 001,110 100,111 001,001 001,111 001,011 010,111 100,110 010,010 010,111 100,111 100,011 001,100 100,101 001
Joseph Lewis,Doctor,001 001,110 100,111 100,001 001,111 001,001 001,111 010,001 001,111 001,011 010,001 001,X,111 010,X
Olivia Smith,Admin,010 010,100 100,111 010,010 010,010 010,101 100,010 010,001 001,010 010,010 010,X,X,110 100,X
Evelyn Thompson,Doctor,111 001,101 100,110 010,111 100,010 010,X,110 010,X,110 010,X,110 100,100 100,111 010,001 001
Charles Allen,Nurse,111 100,100 100,011 001,101 001,010 010,X,X,X,X,011 010,110 100,111 001,X,110 010
