Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Dorothy Scott,Doctor,"['Evening', 'Night', 'Morning'] Evening False",['Evening'] Evening False,"['Morning', 'Evening', 'Night'] Night False","['Night', 'Morning', 'Evening'] Night False",['Night'] Night True,"['Night', 'Morning'] Night False","['Night', 'Evening'] Night False",['Evening'] Evening False,"['Evening', 'Night', 'Morning'] Morning True","['Morning', 'Evening'] Morning False","['Morning', 'Evening'] Morning False","['Morning', 'Evening'] Morning True","['Night', 'Morning', 'Evening'] Evening False","['Night', 'Evening', 'Morning'] Morning False"
Ava Garcia,Admin,"['Evening', 'Night', 'Morning'] Night False","['Morning', 'Evening'] Evening True","['Night', 'Evening'] Evening False","['Evening', 'Night', 'Morning'] Morning False",['Evening'] Evening False,['Evening'] Evening False,"['Night', 'Morning'] Morning False","['Morning', 'Night'] Night False",['Night'] Night False,"['Morning', 'Night'] Morning False","['Morning', 'Evening'] Evening False","['Evening', 'Night'] Evening False","['Night', 'Morning', 'Evening'] Evening False","['Night', 'Evening'] Evening False"
Amelia Robinson,Doctor,"['Morning', 'Evening'] Evening True",['Evening'] Evening False,['Night'] Night False,"['Night', 'Evening', 'Morning'] Night False","['Night', 'Morning'] Morning False",['Evening'] Evening False,"['Morning', 'Evening'] Evening False","['Morning', 'Evening', 'Night'] Evening False","['Evening', 'Morning'] Evening False",['Evening'] Evening True,"['Evening', 'Night', 'Morning'] Morning False",['Morning'] Morning False,['Evening'] Evening False,['Morning'] Morning False
Jennifer Martin,Admin,['Night'] Night False,['Morning'] Morning False,['Evening'] Evening True,"['Morning', 'Evening', 'Night'] Morning False","['Evening', 'Night'] Night False",['Night'] Night False,"['Evening', 'Night'] Evening True",['Night'] Night False,"['Evening', 'Night'] Night True","['Morning', 'Night'] Night False","['Evening', 'Night', 'Morning'] Night False","['Evening', 'Morning', 'Night'] Morning True",['Morning'] Morning False,"['Night', 'Morning'] Night False"
Liam White,Nurse,"['Night', 'Morning', 'Evening'] Evening True","['Night', 'Evening'] Evening False",['Evening'] Evening False,"['Morning', 'Evening', 'Night'] Morning True","['Morning', 'Night', 'Evening'] Night False","['Evening', 'Morning', 'Night'] Evening True","['Morning', 'Night', 'Evening'] Evening False","['Evening', 'Morning'] Morning False","['Evening', 'Morning'] Morning True","['Evening', 'Morning'] Evening False","['Evening', 'Night', 'Morning'] Morning False",['Morning'] Morning False,['Morning'] Morning False,"['Morning', 'Evening'] Evening True"
William Perez,Nurse,['Night'] Night False,"['Night', 'Morning'] Morning False","['Night', 'Morning', 'Evening'] Evening False","['Evening', 'Night'] Evening True","['Night', 'Evening'] Evening False","['Evening', 'Morning'] Evening False","['Morning', 'Night', 'Evening'] Evening False","['Night', 'Morning', 'Evening'] Morning False",['Night'] Night False,['Night'] Night False,"['Morning', 'Evening'] Morning False","['Evening', 'Morning', 'Night'] Night False",['Morning'] Morning False,"['Night', 'Evening'] Evening False"
Henry Robinson,Nurse,"['Morning', 'Night'] Morning True","['Evening', 'Morning'] Evening False","['Morning', 'Night', 'Evening'] Morning False","['Morning', 'Night', 'Evening'] Morning False","['Night', 'Morning'] Night False","['Morning', 'Evening'] Morning False",['Morning'] Morning True,"['Morning', 'Evening', 'Night'] Night False","['Morning', 'Evening', 'Night'] Evening False","['Morning', 'Evening'] Evening False","['Night', 'Evening'] Evening True","['Morning', 'Evening'] Evening False","['Night', 'Morning', 'Evening'] Morning False","['Night', 'Evening', 'Morning'] Morning False"
Elijah Sanchez,Doctor,"['Night', 'Evening'] Evening False","['Night', 'Evening'] Night False","['Evening', 'Morning', 'Night'] Morning False","['Evening', 'Night', 'Morning'] Night False","['Evening', 'Night', 'Morning'] Morning False","['Evening', 'Night'] Night False","['Night', 'Morning'] Night True","['Evening', 'Morning', 'Night'] Evening True","['Morning', 'Night', 'Evening'] Night False",['Morning'] Morning False,"['Morning', 'Evening', 'Night'] Night False","['Night', 'Morning'] Night False","['Night', 'Evening', 'Morning'] Morning False","['Night', 'Morning', 'Evening'] Morning False"
James Scott,Nurse,['Night'] Night False,"['Morning', 'Night', 'Evening'] Night False","['Evening', 'Night', 'Morning'] Evening False","['Evening', 'Night', 'Morning'] Evening False","['Evening', 'Morning'] Evening False",['Night'] Night True,"['Morning', 'Night'] Night False",['Morning'] Morning False,"['Evening', 'Morning'] Evening False",['Morning'] Morning False,['Morning'] Morning False,"['Evening', 'Morning'] Evening True","['Evening', 'Night'] Night True",['Morning'] Morning True
James Martinez,Nurse,"['Night', 'Evening'] Night False",['Evening'] Evening False,['Evening'] Evening True,['Night'] Night False,"['Evening', 'Night', 'Morning'] Morning False","['Evening', 'Night', 'Morning'] Morning False","['Evening', 'Morning', 'Night'] Morning False","['Night', 'Evening'] Night False",['Night'] Night False,"['Morning', 'Evening', 'Night'] Night False","['Evening', 'Night'] Evening True","['Evening', 'Morning', 'Night'] Morning False","['Morning', 'Evening', 'Night'] Evening False","['Night', 'Morning', 'Evening'] Night False"
