Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Noah Gonzalez,Nurse,011 001,111 010,111 001,X,010 010,010 010,101 001,111 001,101 001,100 100,X,111 010,X,100 100
William Brown,Nurse,100 100,X,011 001,X,X,111 100,111 100,X,010 010,100 100,010 010,111 001,111 100,001 001
Alexander Thomas,Nurse,001 001,101 100,110 010,100 100,101 100,010 010,100 100,011 010,100 100,111 010,101 100,001 001,111 010,010 010
Benjamin White,Admin,X,001 001,110 100,X,011 010,X,111 010,101 100,100 100,010 010,100 100,010 010,001 001,X
Elijah Davis,Nurse,101 001,001 001,001 001,100 100,111 100,101 100,111 010,100 100,010 010,010 010,100 100,100 100,X,X
Lucas Brown,Doctor,111 010,011 010,111 010,100 100,111 100,110 010,011 001,X,011 010,001 001,101 001,X,111 100,111 100
Charlotte Brown,Doctor,111 100,111 010,010 010,111 001,111 100,010 010,111 010,010 010,110 010,X,001 001,101 001,100 100,100 100
Lisa King,Doctor,111 001,111 100,100 100,111 010,001 001,100 100,011 001,111 010,010 010,110 010,111 010,X,X,X
Barbara Rodriguez,Admin,001 001,001 001,111 100,111 010,X,X,011 001,111 001,101 001,110 100,X,001 001,111 001,111 010
Sophia Wilson,Nurse,100 100,101 100,X,101 001,X,111 001,010 010,100 100,X,011 001,011 001,111 001,001 001,100 100
James Garcia,Doctor,110 010,110 010,100 100,X,X,010 010,111 010,101 100,101 100,X,010 010,X,011 001,X
David Hernandez,Doctor,010 010,011 010,100 100,X,011 001,111 100,100 100,111 010,110 100,011 010,100 100,X,001 001,110 010
William Rodriguez,Nurse,110 100,111 001,X,010 010,111 100,100 100,X,001 001,X,X,101 001,001 001,100 100,001 001
Margaret Scott,Doctor,101 100,101 001,001 001,111 010,110 100,100 100,X,001 001,100 100,111 001,100 100,010 010,010 010,111 001
