Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Linda Thompson,Nurse,X,111 010,X,101 001,101 001,111 010,110 010,011 010,X,X,101 100,110 010,011 010,111 001
James Lopez,Nurse,010 010,X,X,X,111 100,111 010,X,111 001,001 001,111 001,011 010,010 010,X,110 010
Liam Wilson,Doctor,011 010,X,110 010,110 100,110 100,X,010 010,111 010,111 100,111 100,111 010,101 001,111 100,111 100
Liam Lopez,Admin,101 100,110 010,101 100,100 100,X,X,011 001,011 001,X,X,111 010,100 100,010 010,X
Liam Jones,Doctor,101 001,100 100,110 100,011 010,100 100,110 010,001 001,111 010,001 001,111 001,111 001,101 100,100 100,111 001
Robert Davis,Doctor,100 100,010 010,111 001,X,X,100 100,010 010,X,111 001,X,101 100,X,101 100,010 010
Harper Wright,Doctor,010 010,X,111 010,110 100,X,111 100,011 010,X,001 001,010 010,111 010,111 100,110 100,X
Robert Smith,Nurse,X,100 100,X,100 100,111 001,101 001,011 010,X,110 100,111 010,111 010,111 100,X,111 100
Jennifer Gonzalez,Admin,001 001,101 100,X,100 100,100 100,X,010 010,010 010,X,X,100 100,X,001 001,110 100
William Wright,Doctor,111 001,X,011 001,111 010,111 100,110 100,111 001,X,011 010,100 100,X,011 001,011 001,101 001
Michael Martin,Nurse,010 010,010 010,111 100,111 001,011 010,011 010,X,011 010,111 001,111 001,100 100,010 010,111 001,X
Henry Torres,Doctor,001 001,100 100,X,111 001,101 100,X,100 100,111 100,X,100 100,111 001,X,110 100,100 100
Lisa Ramirez,Nurse,011 010,100 100,011 001,110 100,111 010,X,001 001,001 001,X,X,010 010,101 001,111 001,001 001
Benjamin Flores,Nurse,111 001,X,111 100,X,011 010,X,111 001,111 001,011 001,001 001,X,111 010,111 001,111 010
Barbara Williams,Doctor,110 100,100 100,101 100,110 100,111 010,011 010,010 010,111 010,100 100,011 010,111 100,001 001,011 001,100 100
Liam Flores,Admin,101 001,111 001,010 010,101 001,001 001,010 010,011 001,110 010,101 001,111 010,010 010,X,001 001,111 010
David White,Doctor,111 001,001 001,X,011 001,011 001,011 010,011 001,X,011 010,111 010,001 001,101 001,101 001,X
Mia Clark,Doctor,111 010,101 001,111 100,001 001,111 010,X,100 100,111 010,111 001,001 001,111 100,100 100,X,X
Isabella Scott,Doctor,X,011 010,101 100,010 010,011 010,100 100,110 100,X,X,001 001,111 100,101 001,111 010,X
William Thomas,Nurse,110 010,X,X,010 010,X,111 010,100 100,001 001,011 010,110 010,001 001,111 001,001 001,001 001
Amelia Allen,Nurse,001 001,111 100,100 100,001 001,110 010,100 100,011 010,111 010,101 100,110 100,X,111 100,101 001,101 100
Charles Brown,Admin,110 100,110 100,X,100 100,101 001,001 001,001 001,111 001,010 010,111 100,100 100,100 100,X,110 010
William Young,Nurse,001 001,X,X,X,111 100,111 010,011 001,X,001 001,011 010,001 001,X,110 010,110 100
Susan Clark,Admin,100 100,010 010,111 010,110 100,100 100,110 010,111 100,001 001,X,011 001,X,111 100,111 001,110 100
